Title, Torrent
Aladdin (1992),magnet:?xt=urn:btih:d5578c9b3abf5725c3a38b345ab1f4980cfe9325&dn=Aladdin.1992.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Snow White and the Seven Dwarfs (1937),magnet:?xt=urn:btih:c15f0871334240653bdefe1e29941439d0666210&dn=Snow.White.And.The.Seven.Dwarfs.1937.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Fun & Fancy Free (1947),magnet:?xt=urn:btih:c318c7a1a27e0662d4891ca0ca464d7d340cecf7&dn=Fun.and.Fancy.Free.1947.1080p.BluRay.X264-Japhson&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
The Adventures of Ichabod and Mr. Toad (1949),magnet:?xt=urn:btih:ec212fa9bfd2ee720d272824582dcd58bb02d695&dn=The.Adventures.of.Ichabod.and.Mr.Toad.1949.1080p.BluRay.X264-Japhson&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Alice in Wonderland (1951),magnet:?xt=urn:btih:5bf814bec40ff2d324f5e5a76ba9093f5003ece9&dn=Alice.In.Wonderland.1951.1080p.BluRay.x264-CiNEFiLE&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Peter Pan (1953),magnet:?xt=urn:btih:e3d5e8257931464502f35a85203fbac2782abbcb&dn=Peter.Pan.1953.1080p.BluRay.X264-AMIABLE&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Lady and the Tramp (1955),magnet:?xt=urn:btih:fcde02a5864c5038a9b645ad5dcb28de282ea646&dn=Lady.and.the.Tramp.1955.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
Sleeping Beauty (1959),magnet:?xt=urn:btih:e0c5b858bef9f235075e2deaf28f9f923953b525&dn=Sleeping.Beauty.1959.1080p.BluRay.x264-HD1080&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
One Hundred and One Dalmatians (1961),magnet:?xt=urn:btih:0b501cd562e13fc1cee9080547b565209a2f5745&dn=101.Dalmatians.1961.1080p.BluRay.X264-AMIABLE&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
The Sword in the Stone (1963),magnet:?xt=urn:btih:594ff1c8a9ebcb61a09e76792dc75d34ea1d9308&dn=The.Sword.in.the.Stone.1963.1080p.BluRay.H264.AAC-RARBG&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710&tr=udp%3A%2F%2Fopen.demonii.com%3A1337%2Fannounce
